Uniprot,SF ABF93_17-R1,SF ABF93_17-R2,SF ABF93_17-R3,SF ABF93_1-R1,SF ABF93_1-R2,SF ABF93_1-R3,SF ABF93_2-R1,SF ABF93_2-R2,SF ABF93_2-R3,SF ABF93_3-R1,SF ABF93_3-R2,SF ABF93_3-R3,SF ABF93_4-R1,SF ABF93_4-R2,SF ABF93_4-R3,SF ABF93_5-R1,SF ABF93_5-R2,SF ABF93_5-R3,SF ABF93_6-R1,SF ABF93_6-R2,SF ABF93_6-R3,SF ABF93_7-R1,SF ABF93_7-R2,SF ABF93_7-R3,SF ABF93_8-R1,SF ABF93_8-R2,SF ABF93_8-R3,SF ABF93_9-R1,SF ABF93_9-R2,SF ABF93_9-R3,SF ABF93_10-R1,SF ABF93_10-R2,SF ABF93_10-R3,SF ABF93_11-R1,SF ABF93_11-R2,SF ABF93_11-R3,SF ABF93_12-R1,SF ABF93_12-R2,SF ABF93_12-R3,SF ABF93_13-R1,SF ABF93_13-R2,SF ABF93_13-R3,SF ABF93_14-R1,SF ABF93_14-R2,SF ABF93_14-R3,SF ABF93_15-R1,SF ABF93_15-R2,SF ABF93_15-R3,SF ABF93_16-R1,SF ABF93_16-R2,SF ABF93_16-R3
ABF_005935,39.3723562663389,39.1769454472921,39.2671339745935,34.2499356007901,34.5674848714105,33.9791636164568,39.2691925976285,39.1517535246461,39.2799649696545,39.3621514139454,39.2849196397539,39.3247221746465,39.3887604506317,39.4495255333241,39.445409504945,39.1528268960141,39.1908363412389,39.3515019193357,39.3296318167905,39.3124782910294,39.2932459399664,39.3025171543034,39.3388898376841,39.2205147779107,39.2284986630526,39.1072515000039,39.2926949065475,39.4765363314578,39.3099785723834,39.4280405104224,39.262395057949,39.2495170328584,39.2565722940215,39.4408880209621,39.4118744356832,39.3379087860453,39.2044708663421,39.3028574380503,39.3804215741173,39.6224887958515,39.5278594348032,39.5707410437795,39.413286965762,39.3526156609462,39.2903723896666,39.1570274203411,39.1443625361113,39.3060640805826,39.3087047668588,39.4909313885566,39.5380623849308
ABF_005936,40.672374500089,40.6282876282018,40.5858991607304,36.5976264960418,36.7650351031685,35.8069109692784,39.735459376174,39.6493064165399,39.8707275634265,40.4464868436007,40.5881860835343,40.4456292273311,40.9832875517935,41.0431561182879,40.9829916489794,41.449578483066,41.4766868437391,41.3668965334502,41.0162834293139,40.9211340425591,40.950668871735,41.095346589234,41.2307911209529,40.8428597173171,40.8711159704671,40.8419788172427,40.7014010678959,41.0470267958004,40.7929942648316,40.8881475353921,41.5409726063739,41.3488884743041,41.4147949871107,40.6937419113529,40.7924496698583,40.6787187147225,41.5199382993763,41.8206591485603,41.7674311769496,41.3546972885559,40.9043549755083,41.1179547048993,41.6305664445181,41.6011741586106,41.5993714843556,41.5182053571081,41.2818841115064,41.4613130073534,40.9893817649153,41.0960616643896,41.2732093512238
ABF_005934,39.3268104418835,39.4595198675925,39.5607669962148,35.4175610989994,35.8500377642604,35.07293421973,38.8425600735067,38.6247252731251,38.7815303550355,39.2383330394076,39.2589596868251,39.2998146741075,39.6203291717583,39.5998275371606,39.6112117179206,40.2581221898851,40.2902810002042,40.2109376759583,39.7097917253049,39.6124222957304,39.6228835356176,39.6473641744988,39.6466270893908,39.4462529725591,39.3625918235913,39.4655307309574,39.2133211075214,39.6347580142025,39.5506191992086,39.5438335796188,40.1801394308069,40.0103128998062,40.1471507796123,39.3064777561697,39.4103963396453,39.3373400297738,40.2744408703837,40.115600532366,40.2309514792783,39.7063306920862,39.6858888538485,39.7286896011435,40.2199922152677,40.3914337385346,40.4419897681997,40.0145993589072,39.8806703088726,40.1286123466664,39.4157330405631,39.6512738582739,39.5671026289609
G3XMP9,29.7891307137528,,,,,,,,29.9501371017588,,,30.8033125433807,,,,,,29.7890414357894,,,28.2728137734944,,,,29.9582547548078,,28.7031728105054,,,,,,,,,,,,,,,,29.6021368339373,,29.3021843128372,,29.9240909880263,,29.1865173634101,,29.7430446704626
G3XMY1,31.3641292049362,31.338986967994,31.1831013170557,30.6488924648539,30.6016341699068,30.606777680184,30.6332726575703,31.5061126386616,30.4838338447533,31.1193938865832,30.6928346345899,31.0015223334883,31.2193985897455,31.6570404778799,31.1784888696674,31.941298532451,31.6799945928094,31.4398948954208,31.6504263574107,30.8522092971821,31.8564086534355,31.3281105114083,31.1835243050933,31.4713420837132,31.1885903472623,31.4314917243765,31.1408799440627,31.4401841138308,31.189518133276,31.5174101526245,31.4814917789489,30.9501200515919,31.1484052210668,31.0934208806493,30.6697290137773,31.4396358683092,31.2580538066993,31.5383756738957,31.1195121006585,31.0062980714121,31.4364935187407,31.3273262450687,30.4983263663933,31.4337435788148,31.6905022285079,30.5013558324089,30.2598570586462,30.6413245016402,31.5344615232345,30.4724286810526,31.0135143711589
G3XN01,32.4656938662667,32.8419500934068,32.595083802447,31.4817071656974,32.5262077595819,31.9653506082479,32.3772857066131,32.5595755382636,32.7160782368333,32.2762017081257,32.3972471061676,32.2771106479649,32.3624706676717,32.7500730282668,32.3141766538563,32.3555076452909,32.464245643717,32.2258260852632,32.3488482933244,32.626322348917,32.2291169666614,32.4879529744547,32.724175872097,32.5480646981044,32.7833171814747,32.6510056079691,32.4742172406035,32.570329598419,32.4846016218737,32.3668354087772,32.3342559200683,32.6952771015331,32.2106054540425,32.4094646611431,32.2670536593633,32.3003870854333,32.8246893256843,32.4114115396162,32.8688163602209,32.6586873386288,32.4409197395524,32.5355725520013,32.3464606403439,32.6184384382184,32.1940252304252,32.3117415848649,32.591621487608,32.0487614068939,32.1819443209334,32.3171633732894,32.321043188559
G3XLT6,31.5198060498837,30.57535257687,30.4087187413902,31.6915778971632,31.8406791370167,31.6290934023613,31.3308621238553,31.6571840427409,31.3099111681606,30.9483549313604,30.9888544230044,30.9804489257196,30.982167316542,31.0516091056951,31.0962785711317,30.5422388395668,30.311339461673,30.9003332775767,30.0418447197034,30.6977073219826,30.2895877487122,30.7945984698147,30.6620387065084,30.3747461824357,30.998430765527,30.698218208323,30.800784679172,31.0300569056774,30.5291273471652,30.6651633829543,31.1334381988318,31.0132255113121,30.7953147775245,30.4715728984556,32.2337110548525,31.1994188836443,31.0718230861688,29.8468374440322,30.5699865005416,31.3118196956163,30.5180587630503,30.7608291887878,30.5980665143869,30.8437309150432,31.0489186245148,30.4969271299489,30.8643171576282,31.0594353683966,30.5847811778395,30.9901919304218,31.1698023060545
G3XLV7,33.9591580806685,34.1061526018085,33.948223642321,34.2358180205217,34.3028194880983,34.2959470215118,34.0363865287234,34.1655975105198,34.3439311799914,34.2041503194368,34.0795794021899,34.1593066117273,34.0580871268902,34.0737289347725,33.9412345826728,33.8609873316438,33.8943833980153,34.0955871880567,33.9532796687228,34.2312954771933,34.0586177101518,33.843726481784,33.7960648446477,33.9656599356546,33.9827515205199,33.9533820267629,33.9183557614364,34.0824396032785,34.0937041785523,34.163819662298,33.9961288672292,33.9647516119125,34.0067100616333,34.0812397819457,34.2620464430621,34.0315109629946,33.842930624788,33.5932552648196,33.9856395384126,33.5929312426774,33.7345056566648,34.0964007495289,34.0108670857275,33.9667502489685,33.9447362344058,33.7950471249201,33.8305998156489,33.7418429218719,34.0419918099394,33.7757451893754,33.9392668673977
G3XN51,34.9682341501629,35.1312043495064,35.2569369398822,35.339438697448,35.3203960480083,35.3932921827508,35.3793746536456,35.3418987487895,35.1719465819916,35.2340946131773,35.0708455344253,35.3273229307619,34.8543530562115,35.0943217521701,34.9733300286939,34.9300152445192,34.7421970042759,35.0145745777647,35.0800426002905,35.2201350198274,35.0507153049434,34.993683476042,34.777956234108,34.9877476517417,34.9407960323099,34.9801286492576,34.977647066444,34.9879816250682,34.9970198047893,34.9947931849683,35.103240073255,35.0991266029004,34.9878117586734,35.0355346181908,34.9073446277164,35.0835861130411,34.9664612311657,34.6531243625225,34.7407854040447,34.8388258942802,35.2124388812826,35.0379164417298,35.0104945523457,34.9188505153701,34.9795384900293,34.6428832212299,35.0405709239284,34.6019204956482,35.0891664128364,34.7363049499127,34.9307069819956
G3XN25,33.9341548696064,34.178410515434,34.4262937471832,33.6723544776218,33.5199246752174,33.8045983106286,34.3113761914357,34.1274071018481,34.1972987450796,34.5910465032965,34.3070872114984,34.3136537103251,34.3648465655916,34.381225063226,34.3768053720299,34.1216131966072,34.2901763345326,34.1155678857076,34.3158917542289,34.2927096679823,34.4378228828074,34.1106677480355,34.0431545856055,34.2646646641845,34.1035319221192,34.2575197974168,34.3394037678594,34.3422709698924,34.0460439299822,34.1644084859173,34.2511136208502,34.0779850005933,33.9663716607175,34.231911090036,34.3061635811056,34.2937036054088,34.0742519108567,34.0760232035965,34.1958538330547,33.9226797678746,34.1959987054779,34.2810030458688,34.374281747265,34.2090505365511,34.327089832393,34.0072808381356,34.1851656612865,33.7039520768714,34.5270427777682,34.2606983359651,34.3619218024499
