Omics Sample ID,Strain (ICE),Genotype,glucose_uptake_rates (mmol/gDCW * hr),3hp_secretion_rates (mmol/gDCW * hr)
An_ZD_SF93_M_52,ABF_008340,wild-type,0.10736732852836904,0.0
An_ZD_SF93_M_53,ABF_008340,wild-type,0.1540123306046908,0.0
An_ZD_SF93_M_54,ABF_008340,wild-type,0.08869212443906511,0.0
An_ZD_SF93_M_55,ABF_008343,"panD+, bapat+, hpdh+",0.1643374609177123,0.015999909389826088
An_ZD_SF93_M_56,ABF_008343,"panD+, bapat+, hpdh+",0.16454821673748654,0.010571505158985278
An_ZD_SF93_M_57,ABF_008343,"panD+, bapat+, hpdh+",0.16062805794517349,0.012283642574587965
An_ZD_SF93_M_58,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.15618638631086523,0.012852609684294733
An_ZD_SF93_M_59,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.1977110785953241,0.017979297070414697
An_ZD_SF93_M_60,ABF_008344,"panD+, bapat+, hpdh+, aat+",0.1545986118277068,0.012720980590705944
An_ZD_SF93_M_61,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.18788026276345218,0.023505798914769224
An_ZD_SF93_M_62,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.20554302503954675,0.016518958826908167
An_ZD_SF93_M_63,ABF_008345,"panD+, bapat+, hpdh+, pyc+",0.22338879338278156,0.018211416151197427
An_ZD_SF93_M_64,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.20012517586252201,0.028477076806438375
An_ZD_SF93_M_65,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.19164305082983998,0.025091703321091816
An_ZD_SF93_M_66,ABF_008346,"panD++, bapat++, hpdh++, pyc+",0.20147667382764503,0.024606167160438515
An_ZD_SF93_M_67,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.22120753598094364,0.018521108457637322
An_ZD_SF93_M_68,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.1974208347367667,0.018592370406821337
An_ZD_SF93_M_69,ABF_008347,"panD+, bapat+, hpdh+, pyc+, ΔoahA",0.21982803960802372,0.018472087739458944
An_ZD_SF93_M_70,ABF_008348,"panD+, bapat+, hpdh+, pyc+, Δald6",0.25657282267377657,0.060501613217155324
An_ZD_SF93_M_71,ABF_008348,"panD+, bapat+, hpdh+, pyc+, Δald6",0.255592329953004,0.05390450218771881
An_ZD_SF93_M_72,ABF_008348,"panD+, bapat+, hpdh+, pyc+, Δald6",0.2621373208418628,0.0622231217084914
An_ZD_SF93_M_73,ABF_008351,"panD+, bapat+, hpdh+, pyc+, Δuga2",0.1567909433050089,0.00637219640633865
An_ZD_SF93_M_74,ABF_008351,"panD+, bapat+, hpdh+, pyc+, Δuga2",0.1725253285962921,0.0016636437285401154
An_ZD_SF93_M_75,ABF_008351,"panD+, bapat+, hpdh+, pyc+, Δuga2",0.1485425688737212,0.009479677711582184
An_ZD_SF93_M_76,ABF_008354,"panD+, bapat+, hpdh+, pyc+, aat+",0.1503077460893009,0.01715710139425064
An_ZD_SF93_M_77,ABF_008354,"panD+, bapat+, hpdh+, pyc+, aat+",0.186789332993623,0.0238187777200199
An_ZD_SF93_M_78,ABF_008354,"panD+, bapat+, hpdh+, pyc+, aat+",0.17122177398745428,0.025302902322033922
An_ZD_SF93_M_79,ABF_008355,"panD++, bapat++, hpdh++, pyc+, aat+",0.2286274026779503,0.03477662210863472
An_ZD_SF93_M_80,ABF_008355,"panD++, bapat++, hpdh++, pyc+, aat+",0.2107420631258614,0.030368638288405834
An_ZD_SF93_M_81,ABF_008355,"panD++, bapat++, hpdh++, pyc+, aat+",0.21421722832673507,0.028501696548295617
An_ZD_SF93_M_82,ABF_008356,"panD+, bapat+, hpdh+, pyc+, Δald6, aat+",0.25429148394554724,0.04884922614249967
An_ZD_SF93_M_83,ABF_008356,"panD+, bapat+, hpdh+, pyc+, Δald6, aat+",0.22158722824673885,0.04949749437391299
An_ZD_SF93_M_84,ABF_008356,"panD+, bapat+, hpdh+, pyc+, Δald6, aat+",0.20459242881661355,0.04931275445643322
An_ZD_SF93_M_85,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.21884210173074595,0.030556370776020185
An_ZD_SF93_M_86,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.2372038428970096,0.03599374246082687
An_ZD_SF93_M_87,ABF_008897,"panD++, bapat++, hpdh++, pyc+, mfs+",0.24597750437089028,0.0468985300453304
An_ZD_SF93_M_88,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.18656974141277138,0.033985961741268424
An_ZD_SF93_M_89,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.19454835949347932,0.023798381894395496
An_ZD_SF93_M_90,ABF_008898,"panD+, bapat+, hpdh+, pyc+, mfs+",0.1821706628050583,0.03056170556641955
An_ZD_SF93_M_91,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.2222609656358841,0.03640634030505362
An_ZD_SF93_M_92,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.20558812241074262,0.047100042892440436
An_ZD_SF93_M_93,ABF_008899,"panD++, bapat++, hpdh++, pyc+, ΔoahA",0.2171504511064975,0.03416534231756077
An_ZD_SF93_M_94,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.19458235196607887,0.03133979730582229
An_ZD_SF93_M_95,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.2075184625898225,0.033896511141656795
An_ZD_SF93_M_96,ABF_008900,"panD++, bapat++, hpdh++, pyc+, uga2+",0.189701012631452,0.03555164368862348
An_ZD_SF93_M_97,ABF_008349,"panD+, bapat+, hpdh+, pyc+, Δald6-2",0.1964441881517853,0.03157678959618263
An_ZD_SF93_M_98,ABF_008349,"panD+, bapat+, hpdh+, pyc+, Δald6-2",0.18416235472236525,0.031117518110674116
An_ZD_SF93_M_99,ABF_008349,"panD+, bapat+, hpdh+, pyc+, Δald6-2",0.1800368114228859,0.030678542905172922
An_ZD_SF93_M_100,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.19022681704144687,0.026957989938395377
An_ZD_SF93_M_101,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.1930693183184801,0.023979028911115082
An_ZD_SF93_M_102,ABF_009101,"panD+, bapat+, hpdh+, pyc+, aat+ (rebuild)",0.18195701346975052,0.0202890604706853
