Sample #,Sample Name,muconic acid (mM),2-ketogluconaic acid (gmM),Gluconic acid (mM),Fructose (mM),Glucose (mM),Strain,Media,Sample,c_mol_balance,Gluconic acid (mM)_diff,Fructose (mM)_diff,Glucose (mM)_diff,sugar_usage,muconate_yield,OD of collection,growth_rate,delta_cdw,gluconate_uptake,fructose_uptake,glucose_uptake,2-ketogluconate_production,muconate_production
1,CJ522.f.1,3.01637399790363,0.0,0.0,20.488631012270456,0.0,CJ522,f,1,5.620033703200779,0.0,9.139136700755014,0.0,9.139136700755014,0.33005021115992694,0.7556,0.035324750212039534,0.35402400000000006,0.0,0.9119091392330857,0.0,0.0,0.3009758039625471
2,CJ522.f.2,2.8647332522046187,0.0,0.0,21.52048674516964,0.0,CJ522,f,2,4.765092173617107,0.0,8.107280967855829,0.0,8.107280967855829,0.3533531480607201,0.7077,0.034180787582421795,0.328158,0.0,0.8444506872704339,0.0,0.0,0.2983893087290465
4,CJ522.glu.1,3.210499738364328,0.0,0.0,0.0,31.42320012734607,CJ522,glu,1,8.85326661313163,0.0,0.0,12.598849641223346,12.598849641223346,0.2548248316147528,0.7197,0.037475112454442475,0.33463800000000005,0.0,0.0,1.4109076288450715,0.0,0.3595342989444155
5,CJ522.glu.2,3.490123846586832,0.0,0.0,0.0,30.26176480873466,CJ522,glu,2,9.68847380548345,0.0,0.0,13.760284959834756,13.760284959834756,0.2536374687569511,0.6717,0.03855549850778801,0.308718,0.0,0.0,1.718508950678764,0.0,0.43587826028632587
6,CJ522.glu.3,3.3088650683052925,0.0,0.0,0.0,31.231270127822913,CJ522,glu,3,8.930437061056995,0.0,0.0,12.790779640746504,12.790779640746504,0.25869142939219447,0.7021,0.0394515315391723,0.325134,0.0,0.0,1.552024231263152,0.0,0.4014953668367866
7,CJ522.fg.1,1.9182251591067465,0.0,0.0,10.884874095853176,13.463648589610662,CJ522,fg,1,10.07043934253651,0.0,5.69928817078163,6.6090805240460835,12.308368694827713,0.1558472293662143,0.7207,0.05954334567206222,0.33517800000000003,0.0,1.0124610972007284,1.1740829237532597,0.0,0.3407668275529407
8,CJ522.fg.2,1.6968735705550306,0.0,0.0,11.52991756993868,14.107277438674467,CJ522,fg,2,9.0400105393642,0.0,5.054244696696125,5.965451674982278,11.019696371678403,0.1539855104280501,0.6567,0.05673973793213251,0.300618,0.0,0.9539565812273673,1.125941110263841,0.0,0.32027410766239683
9,CJ522.fg.3,1.612020350054652,0.0,0.0,11.502003662167025,14.040670249518074,CJ522,fg,3,9.233527060209358,0.0,5.0821586044677804,6.032058864138671,11.114217468606451,0.14504128199830646,0.6122,0.0546243244052825,0.276588,0.0,1.0036931475318736,1.1912922477709469,0.0,0.3183634957022805
10,CJ522.glc.1,3.0858596768251805,21.89161587296707,0.0,0.0,0.0,CJ522,glc,1,1.7770272807576362,27.268812776687415,0.0,0.0,27.268812776687415,0.11316443081318656,0.7514,0.08963413098452343,0.351756,6.948613061946479,0.0,0.0,5.578400836433216,0.7863358420962466
11,CJ522.glc.2,2.7115073486618617,23.571190574954596,0.0,0.0,0.0,CJ522,glc,2,0.5341969616273126,27.268812776687415,0.0,0.0,27.268812776687415,0.09943620834787412,0.6902,0.08151102213821991,0.31870800000000005,6.9741230277355495,0.0,0.0,6.028439313664308,0.6934803504296188
12,CJ522.glc.3,2.789328505634388,22.530757890213412,0.0,0.0,0.0,CJ522,glc,3,1.4838382965672174,27.268812776687415,0.0,0.0,27.268812776687415,0.10229006038792542,0.7065,0.08689568960606625,0.32751,7.235022719822183,0.0,0.0,5.9779113438289295,0.7400709109186235
13,CJ522.gg.1,1.870916262988068,11.072405073203024,0.0,0.0,17.7293822336136,CJ522,gg,1,2.0680507852815193,13.288954045194412,0.0,2.034237453442877,15.32319149863729,0.12209703593108857,0.7097,0.09989866539272076,0.32923800000000003,4.032185754925371,0.0,0.6172361838269893,3.359631906100063,0.5676806375146385
14,CJ522.gg.2,2.0803886456705047,10.343794992728162,0.0,0.0,17.60332428490498,CJ522,gg,2,2.678334368002158,13.288954045194412,0.0,2.1602954021514975,15.44924944734591,0.13465952846194112,0.6906,0.09535135690159877,0.31892400000000004,3.97310895389584,0.0,0.645881457348554,3.0925702928239738,0.6219910707483977
15,CJ522.gg.3,1.9262864196578091,10.809825007183116,0.0,0.0,17.041024684139288,CJ522,gg,3,2.9543898846610404,13.288954045194412,0.0,2.7225950029171884,16.0115490481116,0.12030606244715561,0.7109,0.09678089346429222,0.329886,3.8986705883239527,0.0,0.7987461635951291,3.1713516863032414,0.5651277130966919
16,CJ522.gfg.1,1.8166635869772862,8.37341581326265,0.0,7.583274447865235,12.405791623367534,CJ522,gfg,1,0.011479057837286533,8.25840774061,2.2459279819634377,-0.19571839890640597,10.504335722573437,0.17294416657622072,0.6864,0.07659206211473801,0.31665600000000005,1.9975256386666738,0.543240158088815,0.0,2.0253435402517,0.4394106231852453
17,CJ522.gfg.2,1.8969303143102936,7.916836263623646,0.0,6.726221173720607,11.395990772377829,CJ522,gfg,2,2.045549818482378,8.25840774061,3.102981256108066,0.8140824520832997,12.175471448801366,0.15579933165520585,0.6835,0.07642371650798858,0.31509000000000004,2.0030410739019238,0.7526146810321024,0.19745217725774314,1.9201943897024245,0.46009224214116456
