cid,db,identifier,metabolite
3035456,KEGG,C06473,2dhglcn_c
72,KEGG,C00230,34dhbz_c
22639876,KEGG,C01353,hco3_c
5280518,KEGG,C02480,ccmuac_c
10690,KEGG,C00257,glcn_c
5793,KEGG,C00031,glc__D_c
444212,KEGG,C02341,acon_T_c
165007,KEGG,C05382,s7p_c
753,KEGG,C00116,glyc_c
3698251,KEGG,C00160,glyclt_c
107689,KEGG,C00186,lac__D_c
445639,KEGG,C00712,ocdcea_c
985,KEGG,C00249,hdca_c
1004,KEGG,C00009,pi_c
1060,KEGG,C00022,pyr_c
5281,KEGG,C01530,ocdca_c
1110,KEGG,C00042,succ_c
115015,KEGG,C05824,scys__L_c
122357,KEGG,C00279,e4p_c
668,KEGG,C00111,dhap_c
729,KEGG,C00661,g3p_c
92824,KEGG,C00497,mal__D_c
5779,KEGG,C00121,rib__D_c
439184,KEGG,C00199,ru5p__D_c
700,KEGG,C00189,etha_c
21883788,KEGG,C00122,fum_c
23322899,KEGG,C00489,glutar_c
752,ChEBI,CHEBI:33508,glyc__R_c
5257127,KEGG,C00037,gly_c
11163,KEGG,C02037,glygly_c
790,KEGG,C00262,hxan_c
5950,KEGG,C00041,ala__L_c
44367445,KEGG,C00049,asp__L_c
5862,KEGG,C00097,cys__L_c
33032,KEGG,C00025,glu__L_c
5961,KEGG,C00064,gln__L_c
6306,KEGG,C00407,ile__L_c
6106,KEGG,C00123,leu__L_c
5962,KEGG,C00047,lys__L_c
6137,KEGG,C00073,met__L_c
6262,KEGG,C00077,orn_c
6140,KEGG,C00079,phe__L_c
145742,KEGG,C00148,pro__L_c
7405,KEGG,C01879,5oxpro_c
5951,KEGG,C00065,ser__L_c
6288,KEGG,C00188,thr__L_c
6057,KEGG,C00082,tyr__L_c
6287,KEGG,C00183,val__L_c
18950,KEGG,C00159,man_c
70914,KEGG,C00624,acglu_c
936,KEGG,C00153,ncam_c
8158,KEGG,C01601,nona_c
1015,KEGG,C00346,ethamp_c
439406,KEGG,C01118,suchms_c
1005,KEGG,C00074,pep_c
1045,KEGG,C00134,ptrc_c
644102,ChEBI,CHEBI:18361,ppi_c
8742,KEGG,C00493,skm_c
1102,KEGG,C00315,spmd_c
1135,KEGG,C00178,thym_c
7427,KEGG,C01083,tre_c
6030,KEGG,C00105,ump_c
1188,KEGG,C00385,xan_c
70,KEGG,C00233,4mop_c
111,KEGG,C02642,cala_c
119,KEGG,C00334,4abut_c
91493,KEGG,C00345,6pgc_c
190,KEGG,C00147,ade_c
6083,KEGG,C00020,amp_c
289,KEGG,C00090,catechol_c
19782904,KEGG,C00158,cit_c
724,,,3pg_c
6902,,,arab__L_c
439163,,,fru_p
6036,,,udpgal_c
7027,,,6pgl_c
