cid,db,identifier
5356793,ChEBI,CHEBI:27036
5356793,ChEBI,CHEBI:38407
5356793,InChIKey,TXXHDPDFNKHHGW-ZPUQHVIOSA-N
6912,InChIKey,HEBKCHPVOIAQTA-NGQZWQHPSA-N
86860,InChIKey,RTLDJXGEOSVJEX-UHFFFAOYSA-N
53440600,InChIKey,HSBSUGYTMJWPAX-UHFFFAOYSA-N
3035456,KEGG,C06473
3035456,ChEBI,CHEBI:27469
3035456,InChIKey,VBUYCZFBVCCYFD-JJYYJPOSSA-N
102424,KEGG,C15673
102424,ChEBI,CHEBI:19543
102424,InChIKey,VBUYCZFBVCCYFD-NUNKFHFFSA-N
345901,InChIKey,OOJRTGIXWIUBGG-UHFFFAOYSA-N
72,KEGG,C00230
72,InChIKey,YQUVCSBJEUQKSH-UHFFFAOYSA-N
22639876,KEGG,C01353
22639876,ChEBI,CHEBI:28976
22639876,BioCyc,H2CO3
22639876,InChIKey,BVKZGUZCCUSVTD-UHFFFAOYSA-N
5280518,KEGG,C02480
5280518,ChEBI,CHEBI:16508
5280518,InChIKey,TXXHDPDFNKHHGW-CCAGOZQPSA-N
6902,KEGG,C00216
6902,InChIKey,SRBFZHDQGSBBOR-ZRMNMSDTSA-N
439163,KEGG,C00095
439163,InChIKey,RFSUNEUAIZKAJO-VRPWFDPXSA-N
69507,ChEBI,CHEBI:15946
69507,InChIKey,GSXOAOHZAIYLCY-HSUXUTPPSA-N
6036,KEGG,C00124
6036,InChIKey,WQZGKKKJIJFFOK-SVZMEOIVSA-N
10690,KEGG,C00257
10690,ChEBI,CHEBI:33198
10690,InChIKey,RGHNJXZEOKUKBD-SQOUGZDYSA-N
7027,KEGG,C00198
7027,KEGG,D04332
7027,ChEBI,CHEBI:16217
7027,BioCyc,GLC-D-LACTONE
7027,InChIKey,PHOQVHQSTUBQQK-SQOUGZDYSA-N
5793,KEGG,C00031
5793,KEGG,D00009
5793,InChIKey,WQZGKKKJIJFFOK-GASJEMHNSA-N
439958,KEGG,C03251
439958,ChEBI,CHEBI:15954
439958,InChIKey,VFRROHXSMXFLSN-SLPGGIOYSA-N
444212,KEGG,C02341
444212,ChEBI,CHEBI:32806
444212,InChIKey,GTZCVFVGUGFEME-HNQUOIGGSA-N
6251,KEGG,C00392
6251,KEGG,D00062
6251,ChEBI,CHEBI:16899
6251,BioCyc,MANNITOL
6251,InChIKey,FBPFZTCFMRRESA-KVTDHHQDSA-N
165007,KEGG,C05382
165007,ChEBI,CHEBI:15721
165007,InChIKey,JDTUMPKOJBQPKX-GBNDHIKLSA-N
5289590,ChEBI,CHEBI:17140
5289590,BioCyc,D-XYLULOSE
5289590,InChIKey,ZAQJHHRNXZUBTE-WUJLRWPWSA-N
128869,KEGG,C00880
128869,ChEBI,CHEBI:16534
128869,InChIKey,RGHNJXZEOKUKBD-MGCNEYSASA-N
753,KEGG,C00116
753,KEGG,D00028
753,KEGG,D05073
753,ChEBI,CHEBI:15850
753,ChEBI,CHEBI:17522
753,ChEBI,CHEBI:17754
753,BioCyc,GLYCEROL
753,InChIKey,PEDCQBHIVMGVHV-UHFFFAOYSA-N
3698251,KEGG,C00160
3698251,KEGG,C03547
3698251,ChEBI,CHEBI:17375
3698251,ChEBI,CHEBI:17497
3698251,ChEBI,CHEBI:17893
3698251,ChEBI,CHEBI:52618
3698251,InChIKey,AEMRFAOFKBGASW-UHFFFAOYSA-N
107689,KEGG,C00186
107689,ChEBI,CHEBI:422
107689,InChIKey,JVTAAEKCZFNVCJ-REOHCLBHSA-N
22840032,InChIKey,SXZYCXMUPBBULW-FCAWWPLPSA-N
11005,KEGG,C06424
11005,ChEBI,CHEBI:28875
11005,InChIKey,TUNFSRHWOTWDNC-UHFFFAOYSA-N
445639,KEGG,C00712
445639,ChEBI,CHEBI:16196
445639,InChIKey,ZQPPMHVWECSIRJ-KTKRTIGZSA-N
985,KEGG,C00249
985,KEGG,D05341
985,ChEBI,CHEBI:15756
985,InChIKey,IPCSVZSSVZVIGE-UHFFFAOYSA-N
1004,KEGG,C00009
1004,KEGG,D05467
1004,ChEBI,CHEBI:26078
1004,ChEBI,CHEBI:52641
1004,ChEBI,CHEBI:7794
1004,InChIKey,NBIIXXVUZAFLBC-UHFFFAOYSA-N
66868,InChIKey,JZRYQZJSTWVBBD-UHFFFAOYSA-N
1060,KEGG,C00022
1060,ChEBI,CHEBI:32816
1060,InChIKey,LCTONWCANYUPML-UHFFFAOYSA-N
5460677,KEGG,C01685
5460677,ChEBI,CHEBI:21077
5460677,InChIKey,QXKAIJAYHKCRRA-BXXZVTAOSA-N
5281,KEGG,C01530
5281,KEGG,D00119
5281,ChEBI,CHEBI:28842
5281,InChIKey,QIQXTHQIDYTFRH-UHFFFAOYSA-N
1110,KEGG,C00042
1110,ChEBI,CHEBI:15741
1110,InChIKey,KDYFGRWQOYBRFD-UHFFFAOYSA-N
439665,ChEBI,CHEBI:28587
439665,BioCyc,THREOSE
439665,InChIKey,YTBSYETUWUMLBZ-QWWZWVQMSA-N
115015,KEGG,C05824
115015,ChEBI,CHEBI:27891
115015,InChIKey,NOKPBJYHPHHWAN-REOHCLBHSA-N
123991,KEGG,C02218
123991,ChEBI,CHEBI:17123
123991,ChEBI,CHEBI:76565
123991,InChIKey,UQBOJOOOTLPNST-UHFFFAOYSA-N
122357,KEGG,C00279
122357,ChEBI,CHEBI:48153
122357,InChIKey,NGHMDNPXVRFFGS-IUYQGCFVSA-N
76599,InChIKey,YPZMPEPLWKRVLD-PJEQPVAWSA-N
668,KEGG,C00111
668,ChEBI,CHEBI:16108
668,InChIKey,GNGACRATGGDKBX-UHFFFAOYSA-N
751,KEGG,C02154
751,ChEBI,CHEBI:15693
751,ChEBI,CHEBI:5445
751,InChIKey,MNQZXJOMYWMBOU-UHFFFAOYSA-N
729,KEGG,C00661
729,ChEBI,CHEBI:17138
729,InChIKey,LXJXRIRHZLFYRP-UHFFFAOYSA-N
92824,KEGG,C00497
92824,ChEBI,CHEBI:30796
92824,InChIKey,BJEPYKJPYRNKOW-UWTATZPHSA-N
5779,KEGG,C00121
5779,InChIKey,HMFHBZSHGGEWLO-SOOFDHNKSA-N
77982,ChEBI,CHEBI:17797
77982,InChIKey,PPQRONHOSHZGFQ-LMVFSUKVSA-N
439184,KEGG,C00199
439184,ChEBI,CHEBI:17363
439184,InChIKey,FNZLKVNUWIIPSJ-UHNVWZDZSA-N
700,KEGG,C00189
700,KEGG,D05074
700,ChEBI,CHEBI:16000
700,InChIKey,HZAXFHJVJLSVMW-UHFFFAOYSA-N
21883788,KEGG,C00122
21883788,ChEBI,CHEBI:18012
21883788,ChEBI,CHEBI:22958
21883788,InChIKey,VZCYOOQTPOCHFL-OWOJBTEDSA-N
23322899,KEGG,C00489
23322899,ChEBI,CHEBI:17859
23322899,InChIKey,JFCQEDHGNNZCLN-UHFFFAOYSA-N
752,ChEBI,CHEBI:33508
752,InChIKey,RBNPOMFGQQGHHO-UHFFFAOYSA-N
754,KEGG,C03189
754,ChEBI,CHEBI:15943
754,ChEBI,CHEBI:55491
754,InChIKey,AWUCVROLDVIAJX-UHFFFAOYSA-N
6435863,InChIKey,FABAOYOFJNAVHB-KVVVOXFISA-N
24699,KEGG,D01947
24699,ChEBI,CHEBI:75555
24699,ChEBI,CHEBI:75557
24699,InChIKey,VBICKXHEKHSIBG-UHFFFAOYSA-N
5257127,KEGG,C00037
5257127,KEGG,D00011
5257127,ChEBI,CHEBI:15428
5257127,ChEBI,CHEBI:15705
5257127,ChEBI,CHEBI:16228
5257127,ChEBI,CHEBI:46874
5257127,ChEBI,CHEBI:59869
5257127,ChEBI,CHEBI:59871
5257127,ChEBI,CHEBI:62031
5257127,ChEBI,CHEBI:66884
5257127,ChEBI,CHEBI:66933
5257127,BioCyc,GLY
5257127,InChIKey,DHMQDGOQFOQNFH-UHFFFAOYSA-N
11163,KEGG,C02037
11163,ChEBI,CHEBI:17201
11163,ChEBI,CHEBI:356445
11163,BioCyc,GLYCYLGLYCINE
11163,InChIKey,YMAWOPBAYDPSLA-UHFFFAOYSA-N
790,KEGG,C00262
790,ChEBI,CHEBI:17368
790,BioCyc,HYPOXANTHINE
790,InChIKey,FDGQSTZJBFJUBT-UHFFFAOYSA-N
5950,KEGG,C00041
5950,KEGG,D00012
5950,ChEBI,CHEBI:16977
5950,ChEBI,CHEBI:57972
5950,BioCyc,L-ALPHA-ALANINE
5950,InChIKey,QNAYBMKLOCPYGJ-REOHCLBHSA-N
44367445,KEGG,C00049
44367445,KEGG,D00013
44367445,ChEBI,CHEBI:17053
44367445,InChIKey,CKLJMWTZIZZHCS-REOHCLBHSA-N
5862,KEGG,C00097
5862,KEGG,D00026
5862,ChEBI,CHEBI:17561
5862,ChEBI,CHEBI:35235
5862,ChEBI,CHEBI:47910
5862,ChEBI,CHEBI:58717
5862,ChEBI,CHEBI:61894
5862,BioCyc,CYS
5862,InChIKey,XUJNEKJLAYXESH-REOHCLBHSA-N
33032,KEGG,C00025
33032,KEGG,D00007
33032,ChEBI,CHEBI:16015
33032,ChEBI,CHEBI:53374
33032,InChIKey,WHUUTDBJXJRKMK-VKHMYHEASA-N
5961,KEGG,C00064
5961,KEGG,D00015
5961,ChEBI,CHEBI:18050
5961,ChEBI,CHEBI:58359
5961,BioCyc,GLN
5961,InChIKey,ZDXPYRJPNDTMRX-VKHMYHEASA-N
6306,KEGG,C00407
6306,KEGG,D00065
6306,ChEBI,CHEBI:17191
6306,ChEBI,CHEBI:58045
6306,BioCyc,ILE
6306,InChIKey,AGPKZVBTJJNPAG-WHFBIAKZSA-N
6106,KEGG,C00123
6106,KEGG,D00030
6106,ChEBI,CHEBI:15603
6106,ChEBI,CHEBI:57427
6106,BioCyc,LEU
6106,InChIKey,ROHFNLRQFUQHCH-YFKPBYRVSA-N
5962,KEGG,C00047
5962,ChEBI,CHEBI:18019
5962,InChIKey,KDXKERNSBIXSRK-YFKPBYRVSA-N
6137,KEGG,C00073
6137,KEGG,D00019
6137,ChEBI,CHEBI:16643
6137,ChEBI,CHEBI:57844
6137,BioCyc,MET
