FrameId	Locus	GeneSymbol	ProductName	GenbankAccession.version	Entrez	UniprotAccession	UniprotName
G18UU-22920-MONOMER	PP_5387	cusA	probable copper efflux transporter, CzcA family	AAN70952.1	24987202	Q88BZ6	Q88BZ6_PSEPK
G18UU-22919-MONOMER	PP_5386	cusB	Probable copper RND efflux membrane fusion protein, CzcB family	AAN70951.1	24987201	Q88BZ7	Q88BZ7_PSEPK
G18UU-22905-MONOMER	PP_5374	PP_5374	Choline/carnitine/betaine transporter family protein	AAN70939.1	24987188	Q88C09	Q88C09_PSEPK
G18UU-22861-MONOMER	PP_5329	PP_5329	putative phosphate ABC transporter, periplasmic phosphate-binding protein	AAN70894.1	24987138	Q88C54	Q88C54_PSEPK
G18UU-22860-MONOMER	PP_5328	PP_5328	putative phosphate transport system permease protein	AAN70893.2	1001556072	Q88C55	Q88C55_PSEPK
G18UU-22859-MONOMER	PP_5327	PP_5327	putative phosphate ABC transporter, permease subunit	AAN70892.1	24987136	Q88C56	Q88C56_PSEPK
G18UU-22857-MONOMER	PP_5325	phoU	phosphate transport-associated protein	AAN70890.1	24987134	Q88C58	Q88C58_PSEPK
G18UU-22854-MONOMER	PP_5322	PP_5322	putative metal ion transporter	AAN70887.1	24987130	Q88C61	Q88C61_PSEPK
G18UU-22830-MONOMER	PP_5297	PP_5297	putative Amino acid transporter	AAN70862.1	24987103	Q88C86	Q88C86_PSEPK
G18UU-22817-MONOMER	PP_5283	dppA-IV	periplasmic dipeptide transport protein	AAN70848.1	24987088	Q88C98	Q88C98_PSEPK
G18UU-22778-MONOMER	PP_5246	kefB-III	glutathione-regulated potassium/H+ antiporter	AAN70811.1	24987047	Q88CD5	Q88CD5_PSEPK
G18UU-22718-MONOMER	PP_5196	fbpA	putative iron(III)|iron ABC transporter, periplasmic iron-binding protein	AAN70761.1	24986992	Q88CI5	Q88CI5_PSEPK
G18UU-22717-MONOMER	PP_5195	PP_5195	putative Iron ABC transporter, permease protein	AAN70760.1	24986991	Q88CI6	Q88CI6_PSEPK
G18UU-22702-MONOMER	PP_5181	spuD	spermidine/putrescine ABC transporter - periplasmic subunit	AAN70746.1	24986975	Q88CJ9	Q88CJ9_PSEPK
G18UU-22701-MONOMER	PP_5180	spuE	spermidine/putrescine ABC transporter - periplasmic subunit	AAN70745.1	24986974	Q88CK0	Q88CK0_PSEPK
G18UU-22700-MONOMER	PP_5179	spuF	spermidine/putrescine ABC transporter - ATP binding subunit	AAN70744.1	24986973	Q88CK1	Q88CK1_PSEPK
G18UU-22699-MONOMER	PP_5178	spuG	spermidine/putrescine ABC transporter - inner membrane subunit	AAN70743.1	24986972	Q88CK2	Q88CK2_PSEPK
G18UU-22698-MONOMER	PP_5177	spuH	spermidine/putrescine ABC transporter - permease subunit	AAN70742.1	24986971	Q88CK3	Q88CK3_PSEPK
G18UU-22658-MONOMER	PP_5137	fbpC	ferric iron ABC transporter, ATP-binding protein	AAN70702.1	24986926	Q88CP3	Q88CP3_PSEPK
G18UU-22652-MONOMER	PP_5131	tcyP	sodium-cystine symporter	AAN70696.1	24986920	Q88CP9	Q88CP9_PSEPK
